id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,Neighbourhood,property_type,room_type,accommodates,bathrooms,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,summary_length,description_length,neighborhood_overview_length,host_verifications_count,FB_verification,email_verification,phone_verification,host_days_active,shower_necessities,tv,smoke_detector,pets_allowed,child_friendly,coffee_machine,kitchen_basics,white_goods,elevator,fire_protection,parking,host_greeting,long_term_stays,smoking_allowed,nature_and_views,bedroom_necessities,time_since_first_review,time_since_last_review,occupancy_last_year,Bakery,Bar,Cafe,Restaurant,Supermarket,price,LTV,LTV_potential
7050004,within a day,100%,0.0,1,1.0,südliche Luisenstadt,Apartment,Private room,4,1.0,Real Bed,0,20,1,10,7,20,4,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1,238,1000,238,4,0,1,1,2282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2-3 years,1+ year,1.0,0,5,7,7,0,45.0,45.0,Mid
18121319,within an hour,100%,0.0,1,1.0,Brunnenstr. Süd,Apartment,Private room,1,1.0,Real Bed,0,0,1,0,15,1125,5,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,1,215,1000,487,5,0,1,1,848,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6-12 months,2-6 months,1.0,0,3,3,6,1,45.0,45.0,Mid
7209834,unknown,unknown,0.0,2,1.0,Neue Kantstraße,Apartment,Entire home/apt,2,1.0,Real Bed,0,20,1,0,2,15,4,95-100/100,10/10,10/10,10/10,9/10,10/10,10/10,0,moderate,1,211,1000,0,4,0,1,1,2156,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2-3 years,1+ year,1.0,1,0,5,14,1,45.0,45.0,Mid
380384,within a day,100%,0.0,1,1.0,Nord 1,Apartment,Entire home/apt,2,1.0,Real Bed,0,0,2,10,30,365,12,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1,0,931,0,4,1,1,1,2687,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4+ years,1+ year,1.0,0,0,0,1,1,45.0,45.0,Mid
14740024,unknown,unknown,0.0,1,1.0,Schöneberg-Nord,Apartment,Private room,2,1.0,Real Bed,0,10,1,15,2,1125,12,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,1,390,919,0,4,0,1,1,1785,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2-3 years,6-12 months,1.0,1,4,5,11,0,45.0,45.0,Mid
16271119,unknown,unknown,0.0,3,0.0,Westend,Apartment,Entire home/apt,2,1.0,Real Bed,0,0,1,0,2,1125,1,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,3,274,1000,302,7,1,2,1,2503,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-3 years,1+ year,1.0,0,0,1,4,0,45.0,45.0,Mid
6827025,unknown,unknown,0.0,1,1.0,Schloß Charlottenburg,Apartment,Entire home/apt,3,1.0,Real Bed,0,25,1,25,3,18,2,0-79/100,10/10,10/10,10/10,10/10,0-8/10,0-8/10,0,strict_14_with_grace_period,1,78,541,1000,4,0,1,1,1498,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2-3 years,1+ year,1.0,2,0,2,5,1,45.0,45.0,Mid
17768539,within a day,100%,0.0,1,0.0,südliche Luisenstadt,Apartment,Entire home/apt,2,1.0,Real Bed,0,0,1,0,1,21,16,80-94/100,10/10,0-8/10,9/10,10/10,10/10,9/10,0,flexible,1,284,284,0,5,0,1,1,1473,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1-2 years,2-6 months,1.0,0,5,7,7,0,45.0,45.0,Mid
15024064,unknown,unknown,0.0,1,1.0,Karl-Marx-Allee-Süd,Apartment,Entire home/apt,2,1.0,Real Bed,200,10,1,6,1,1125,9,95-100/100,10/10,10/10,10/10,9/10,10/10,10/10,1,strict_14_with_grace_period,1,494,1000,106,5,0,2,1,2425,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2-3 years,1+ year,1.0,1,2,1,2,2,45.0,45.0,Mid
14119680,unknown,unknown,0.0,1,1.0,Südliche Friedrichstadt,Apartment,Private room,1,1.0,Real Bed,100,30,1,10,2,1125,18,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,1,482,1000,352,4,0,1,1,3461,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2-3 years,6-12 months,1.0,0,1,2,12,0,45.0,45.0,Mid
15370369,unknown,unknown,0.0,1,1.0,Grunewald,Apartment,Entire home/apt,3,1.0,Real Bed,300,65,1,0,4,1125,1,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,1,530,568,0,6,1,1,1,1962,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1-2 years,1+ year,1.0,0,0,1,2,0,45.0,45.0,Mid
8160853,within an hour,100%,0.0,2,0.0,Tempelhofer Vorstadt,Apartment,Entire home/apt,2,1.0,Pull-out Sofa,100,0,2,10,2,8,25,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2,188,188,0,4,0,1,1,1419,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-3 years,1+ year,1.0,0,6,4,12,0,45.0,45.0,Mid
20831194,unknown,unknown,0.0,1,0.0,Frankfurter Allee Süd FK,Apartment,Entire home/apt,2,1.0,Real Bed,150,10,1,0,7,1125,1,95-100/100,10/10,10/10,10/10,10/10,0-8/10,0-8/10,0,moderate,1,0,982,0,8,1,1,1,1757,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1-2 years,1+ year,1.0,1,6,4,5,0,45.0,45.0,Mid
28016965,within an hour,100%,0.0,1,1.0,Schillerpromenade,Apartment,Private room,3,1.5,Real Bed,800,12,1,10,1,1125,8,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,1,moderate,1,158,1000,172,4,0,1,1,1656,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6-12 months,2-6 months,1.0,0,8,2,9,0,45.0,45.0,Mid
1933636,within a few hours,100%,0.0,1,0.0,Neuköllner Mitte/Zentrum,Apartment,Entire home/apt,2,1.0,Real Bed,500,15,2,0,2,1125,45,80-94/100,9/10,0-8/10,10/10,9/10,9/10,9/10,0,moderate,1,250,504,367,2,0,1,1,2075,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,6-12 months,1.0,0,6,5,9,0,45.0,45.0,Mid
21912717,unknown,unknown,0.0,3,0.0,Prenzlauer Berg Nordwest,Apartment,Private room,1,1.0,Real Bed,200,25,1,10,4,30,19,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,3,490,966,263,5,0,1,1,2243,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1-2 years,6-12 months,1.0,1,5,8,8,2,45.0,45.0,Mid
24867877,unknown,unknown,0.0,1,0.0,Neue Kantstraße,Apartment,Private room,1,1.0,Real Bed,0,0,1,0,2,30,1,95-100/100,10/10,10/10,10/10,10/10,0-8/10,10/10,1,strict_14_with_grace_period,1,443,1000,362,6,0,1,1,1474,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6-12 months,6-12 months,1.0,1,0,5,14,1,45.0,45.0,Mid
19806513,unknown,unknown,0.0,1,1.0,Frankfurter Allee Süd FK,Apartment,Private room,2,1.0,Real Bed,0,0,1,0,2,1125,11,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,moderate,1,72,1000,663,7,0,2,1,2001,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1-2 years,6-12 months,1.0,1,6,4,5,0,45.0,45.0,Mid
1461097,unknown,unknown,0.0,1,1.0,Tempelhof,Apartment,Entire home/apt,4,1.0,Real Bed,0,0,1,0,5,1125,1,80-94/100,10/10,10/10,0-8/10,10/10,10/10,10/10,0,moderate,1,248,1000,350,4,0,1,1,2186,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4+ years,1+ year,1.0,0,0,1,5,2,45.0,45.0,Mid
19344972,unknown,unknown,0.0,1,1.0,Frankfurter Allee Süd FK,Apartment,Private room,2,1.0,Real Bed,0,10,1,0,2,1125,2,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,flexible,1,326,751,164,7,0,1,1,1490,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1-2 years,1+ year,1.0,1,6,4,5,0,45.0,45.0,Mid
16343871,unknown,unknown,0.0,1,1.0,Prenzlauer Berg Süd,House,Entire home/apt,2,1.0,Real Bed,0,4,1,5,3,30,7,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,1,252,1000,148,6,1,2,1,2268,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-3 years,1+ year,1.0,1,7,1,8,0,45.0,45.0,Mid
19495399,unknown,unknown,0.0,1,1.0,Frankfurter Allee Süd FK,Apartment,Entire home/apt,2,1.0,Real Bed,0,10,1,15,2,1125,4,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,1,498,498,0,5,1,1,1,1812,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1-2 years,1+ year,1.0,1,6,4,5,0,45.0,45.0,Mid
2588639,unknown,unknown,1.0,1,1.0,Neuköllner Mitte/Zentrum,Apartment,Entire home/apt,3,1.0,Real Bed,0,40,1,0,7,1125,8,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,1,247,898,295,5,1,1,1,2649,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1-2 years,6-12 months,1.0,0,6,5,9,0,45.0,45.0,Mid
26340871,within a few hours,100%,1.0,2,1.0,Schöneberg-Nord,Apartment,Private room,2,1.0,Real Bed,180,30,1,0,2,1125,4,95-100/100,10/10,10/10,9/10,10/10,10/10,10/10,0,moderate,2,384,1000,143,5,0,1,1,1215,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6-12 months,6-12 months,0.8191780821917808,1,4,5,11,0,55.0,45.054794520547944,Mid
27589289,within an hour,100%,0.0,2,0.0,Brunnenstr. Süd,Apartment,Private room,2,1.0,Real Bed,0,19,1,0,4,1125,4,80-94/100,10/10,10/10,10/10,10/10,9/10,10/10,1,flexible,1,473,1000,223,3,1,1,1,1721,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6-12 months,2-6 months,0.9397260273972604,0,3,3,6,1,48.0,45.1068493150685,Mid
20509127,within a few hours,100%,0.0,1,0.0,Reuterstraße,Apartment,Entire home/apt,2,1.0,Real Bed,0,20,1,0,7,21,4,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,1,305,1000,460,8,0,2,1,1995,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1-2 years,6-12 months,0.904109589041096,1,9,5,8,0,50.0,45.205479452054796,Mid
21516617,within a day,50-89%,0.0,1,0.0,nördliche Luisenstadt,Apartment,Private room,2,1.0,Real Bed,0,0,1,0,3,14,5,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,1,307,779,249,6,1,1,1,1908,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1-2 years,6-12 months,0.904109589041096,2,4,1,9,0,50.0,45.205479452054796,Mid
28772287,within an hour,100%,0.0,1,0.0,Schillerpromenade,Apartment,Private room,4,1.0,Real Bed,0,25,1,15,3,1125,2,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,1,466,544,0,7,1,1,1,2712,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0-6 months,2-6 months,0.904109589041096,0,8,2,9,0,50.0,45.205479452054796,Mid
14325,within a day,100%,0.0,3,0.0,Prenzlauer Berg Nordwest,Apartment,Entire home/apt,2,1.0,Real Bed,500,0,1,0,90,1125,23,80-94/100,10/10,10/10,9/10,10/10,9/10,9/10,0,strict_14_with_grace_period,3,436,1000,0,7,0,1,1,3532,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4+ years,2-6 months,0.6465753424657534,1,5,8,8,2,70.0,45.26027397260274,Mid
25049152,unknown,unknown,1.0,1,0.0,Frankfurter Allee Nord,Apartment,Entire home/apt,4,1.0,Real Bed,0,0,1,10,1,1125,7,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,1,224,1000,0,7,0,1,1,2538,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-12 months,2-6 months,0.8547945205479452,0,5,2,11,0,53.0,45.3041095890411,Mid
27241757,unknown,unknown,0.0,1,0.0,Schöneberg-Nord,Apartment,Entire home/apt,2,1.0,Real Bed,0,0,1,0,7,15,2,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,1,114,114,0,7,0,1,1,1511,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-12 months,6-12 months,0.6575342465753424,1,4,5,11,0,69.0,45.36986301369863,Mid
2742389,within an hour,100%,0.0,1,1.0,Brunnenstr. Süd,Apartment,Entire home/apt,2,1.0,Real Bed,100,60,2,10,60,1125,27,80-94/100,9/10,9/10,9/10,9/10,9/10,9/10,1,moderate,1,232,892,450,4,0,1,1,1930,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4+ years,2-6 months,0.3945205479452055,0,3,3,6,1,115.0,45.369863013698634,Mid
16215264,unknown,unknown,1.0,1,1.0,Prenzlauer Berg Süd,Apartment,Private room,2,1.0,Real Bed,0,5,1,4,2,10,87,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,1,327,618,14,6,1,1,1,961,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2-3 years,2-6 months,0.9424657534246575,1,7,1,8,0,48.33333333333334,45.552511415525125,Mid
24684422,within an hour,100%,1.0,2,0.0,Frankfurter Allee Süd FK,Apartment,Private room,2,1.0,Real Bed,0,7,1,0,1,10,31,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,moderate,1,98,1000,0,2,0,1,1,1028,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6-12 months,2-6 months,0.9863013698630136,1,6,4,5,0,46.2,45.56712328767124,Mid
1389205,unknown,unknown,0.0,2,0.0,Tempelhofer Vorstadt,Apartment,Entire home/apt,2,1.5,Real Bed,550,39,1,15,4,1125,24,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,strict_14_with_grace_period,2,0,1000,274,5,0,1,1,3158,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4+ years,1+ year,0.35342465753424657,0,6,4,12,0,129.0,45.59178082191781,Mid
