id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,Neighbourhood,property_type,room_type,accommodates,bathrooms,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,summary_length,description_length,neighborhood_overview_length,host_verifications_count,FB_verification,email_verification,phone_verification,host_days_active,shower_necessities,tv,smoke_detector,pets_allowed,child_friendly,coffee_machine,kitchen_basics,white_goods,elevator,fire_protection,parking,host_greeting,long_term_stays,smoking_allowed,nature_and_views,bedroom_necessities,time_since_first_review,time_since_last_review,occupancy_last_year,Bakery,Bar,Cafe,Restaurant,Supermarket,price,LTV,LTV_potential
6891866,unknown,unknown,0.0,2,1.0,Prenzlauer Berg Nordwest,Apartment,Entire home/apt,4,1.0,Real Bed,0,50,2,20,61,1125,65,80-94/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,2,245,319,77,5,0,1,1,2495,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2-3 years,6-12 months,0.0,1,5,8,8,2,95.0,0.0,Low
11272185,within an hour,100%,0.0,1,0.0,Schmargendorf,Apartment,Entire home/apt,3,1.0,Real Bed,250,120,2,50,2,1125,1,0-79/100,10/10,10/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,1,106,106,0,1,0,1,1,1761,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6-12 months,6-12 months,0.0,1,0,3,5,1,189.0,0.0,Low
823087,unknown,unknown,0.0,1,0.0,Pankow Zentrum,Apartment,Private room,4,1.0,Real Bed,350,120,1,50,5,30,6,95-100/100,9/10,10/10,10/10,10/10,9/10,9/10,0,strict_14_with_grace_period,1,0,443,0,2,0,1,1,2420,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4+ years,6-12 months,0.0,0,0,1,2,1,50.0,0.0,Low
28284389,within an hour,100%,0.0,4,0.0,Schöneberg-Süd,Apartment,Private room,2,1.0,Real Bed,0,30,2,100,1,70,2,0-79/100,9/10,9/10,0-8/10,0-8/10,10/10,0-8/10,1,flexible,3,492,1000,201,1,0,0,1,1055,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6-12 months,2-6 months,0.0,0,1,2,10,3,250.0,0.0,Low
12194348,within an hour,100%,0.0,1,1.0,Kurfürstendamm,Apartment,Private room,2,1.0,Real Bed,300,30,1,80,2,1125,12,80-94/100,9/10,0-8/10,9/10,9/10,9/10,0-8/10,0,flexible,1,178,178,0,4,0,1,1,1372,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2-3 years,1+ year,0.0,0,1,5,15,0,120.0,0.0,Low
13292498,unknown,unknown,0.0,1,0.0,Reuterstraße,Apartment,Private room,2,1.0,Real Bed,400,25,2,10,2,7,11,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,1,500,1000,151,2,0,1,1,1673,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2-3 years,6-12 months,0.002739726027397249,1,9,5,8,0,49.0,0.1342465753424652,Low
29021131,within an hour,50-89%,0.0,2,0.0,Frankfurter Allee Süd FK,Other,Shared room,3,1.0,Real Bed,100,50,1,29,1,360,3,0-79/100,0-8/10,0-8/10,0-8/10,0-8/10,0-8/10,0-8/10,1,strict_14_with_grace_period,2,89,848,22,1,0,1,1,297,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6-12 months,2-6 months,0.002739726027397249,1,6,4,5,0,54.89010989010989,0.1503838627126292,Low
1493537,within an hour,100%,0.0,1,0.0,Prenzlauer Berg Südwest,Apartment,Entire home/apt,2,1.0,Real Bed,500,100,2,25,90,2000,6,95-100/100,10/10,10/10,10/10,10/10,10/10,9/10,0,strict_14_with_grace_period,1,266,266,0,3,0,2,1,2175,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4+ years,1+ year,0.002739726027397249,0,5,2,7,0,60.0,0.16438356164383494,Low
26196671,within a few hours,100%,0.0,1,0.0,Rixdorf,Apartment,Shared room,1,1.0,Real Bed,0,0,1,0,1,14,1,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,1,315,359,0,2,1,1,1,741,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6-12 months,6-12 months,0.002739726027397249,2,3,7,8,1,90.0,0.2465753424657524,Low
174576,unknown,unknown,0.0,4,0.0,Alexanderplatz,Apartment,Entire home/apt,5,1.0,Real Bed,500,100,2,30,60,365,41,80-94/100,10/10,10/10,9/10,9/10,9/10,9/10,0,strict_14_with_grace_period,4,210,1000,0,2,0,0,1,2925,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4+ years,1+ year,0.002739726027397249,0,1,1,1,0,96.0,0.2630136986301359,Low
